id,stockId,stockName,stockClass,startDate
702,4943,康控-KY,電子零組件業,2016/11/11
703,4952,凌通,半導體業,2011/11/01
704,4956,光鋐,光電業,2011/10/24
705,4958,臻鼎-KY,電子零組件業,2011/12/26
706,4960,誠美材,光電業,2011/10/24
707,4961,天鈺,半導體業,2018/10/17
708,4967,十銓,半導體業,2019/01/14
709,4968,立積,半導體業,2015/11/13
710,4976,佳凌,光電業,2012/11/20
711,4977,眾達-KY,通信網路業,2013/11/20
712,4989,榮科,電子零組件業,2018/06/28
713,4994,傳奇,資訊服務業,2013/12/25
714,4999,鑫禾,電子零組件業,2013/06/03
715,5007,三星,鋼鐵工業,2011/09/16
716,5203,訊連,資訊服務業,2004/09/27
717,5215,科嘉-KY,電腦及週邊設備業,2011/12/26
718,5222,全訊,半導體業,2021/10/25
719,5225,東科-KY,其他電子業,2012/11/05
720,5234,達興材料,光電業,2012/07/16
721,5243,乙盛-KY,光電業,2013/11/25
722,5244,弘凱,光電業,2022/01/19
723,5258,虹堡,電腦及週邊設備業,2016/12/30
724,5269,祥碩,半導體業,2012/12/12
725,5283,禾聯碩,電器電纜,2019/05/24
726,5284,jpp-KY,其他業,2017/03/09
727,5285,界霖,半導體業,2014/02/25
728,5288,豐祥-KY,電機機械,2014/09/25
729,5306,桂盟,其他業,2022/03/08
730,5388,中磊,通信網路業,2007/12/03
731,5434,崇越,電子通路業,2003/08/25
732,5469,瀚宇博,電子零組件業,2003/08/25
733,5471,松翰,半導體業,2003/08/25
734,5484,慧友,光電業,2003/08/25
735,5515,建國,建材營造業,2003/10/06
736,5519,隆大,建材營造業,2014/02/10
737,5521,工信,建材營造業,2012/12/18
738,5522,遠雄,建材營造業,2007/08/06
739,5525,順天,建材營造業,2004/11/26
740,5531,鄉林,建材營造業,2005/01/31
741,5533,皇鼎,建材營造業,2008/04/30
742,5534,長虹,建材營造業,2004/05/24
743,5538,東明-KY,鋼鐵工業,2013/12/16
744,5546,永固-KY,建材營造業,2020/05/20
745,5607,遠雄港,航運業,2004/12/02
746,5608,四維航,航運業,2003/08/25
747,5706,鳳凰,觀光事業,2011/10/21
